"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6545","Test 1.2 - Search and Apply Language and Level Filters","chromium","2026-02-24","passed","2026-02-24","","1Testing_Filters.spec.ts","",""
"","3867","Test 4.1 - Navigate to Coursera Plus Page","chromium","2026-02-24","passed","2026-02-24","","4Price_Validation.spec.ts","",""
"","6242","@sanity Test 2.1 - Open Language Filter and Count Available Options","chromium","2026-02-24","passed","2026-02-24","","2Language_Filters.spec.ts","",""
"","3801","Test 1.1 - Navigate to Home Page and Search for Course","chromium","2026-02-24","passed","2026-02-24","","1Testing_Filters.spec.ts","",""
"","7736","Test 1.3 - Read and Validate Top 2 Course Cards Details","chromium","2026-02-24","passed","2026-02-24","","1Testing_Filters.spec.ts","",""
"","9764","Test 3.2 - Fill University Form and Submit","chromium","2026-02-24","passed","2026-02-24","","3Handling_Form.spec.ts","",""
"","4911","@smoke Test 3.1 - Navigate to University Form Page","chromium","2026-02-24","passed","2026-02-24","","3Handling_Form.spec.ts","",""
"","29223","@sanity Test 2.2 - Iterate Through Languages and List Available Levels","chromium","2026-02-24","passed","2026-02-24","","2Language_Filters.spec.ts","",""
"","6922","Test 4.2 - Validate Coursera Plus Pricing Options","chromium","2026-02-24","passed","2026-02-24","","4Price_Validation.spec.ts","",""
"","8842","Test 3.3 - Resubmit Form and Validate Error Message","chromium","2026-02-24","passed","2026-02-24","","3Handling_Form.spec.ts","",""
